Player: K | Score: 0 | Infantry Kills: 0 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: SCDC | Score: 0 | Infantry Kills: 0 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: WE | Score: 0 | Infantry Kills: 0 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: WDA | Score: 900 | Infantry Kills: 3 | Undead Kills: 6 | Vehicle Kills: 0 | Other Kills: 0
Player: F | Score: 100 | Infantry Kills: 1 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: NH | Score: 700 | Infantry Kills: 7 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: WF | Score: 400 | Infantry Kills: 4 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: G | Score: 700 | Infantry Kills: 6 | Undead Kills: 1 | Vehicle Kills: 0 | Other Kills: 0
Player: FB | Score: 0 | Infantry Kills: 0 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: E | Score: 3200 | Infantry Kills: 14 | Undead Kills: 18 | Vehicle Kills: 0 | Other Kills: 0
Player: FG | Score: 3000 | Infantry Kills: 12 | Undead Kills: 18 | Vehicle Kills: 0 | Other Kills: 0
Player: FR | Score: 2200 | Infantry Kills: 9 | Undead Kills: 13 | Vehicle Kills: 0 | Other Kills: 0
Player: DFG | Score: 600 | Infantry Kills: 6 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: SF | Score: 0 | Infantry Kills: 0 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: GD | Score: 1100 | Infantry Kills: 7 | Undead Kills: 4 | Vehicle Kills: 0 | Other Kills: 0
Player: DSF | Score: 3700 | Infantry Kills: 18 | Undead Kills: 18 | Vehicle Kills: 0 | Other Kills: 1
Player: AF | Score: 3200 | Infantry Kills: 15 | Undead Kills: 17 | Vehicle Kills: 0 | Other Kills: 0
Player: FRE | Score: 0 | Infantry Kills: 0 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: ERWFGE | Score: 3700 | Infantry Kills: 18 | Undead Kills: 18 | Vehicle Kills: 0 | Other Kills: 1
Player: SDV | Score: 300 | Infantry Kills: 3 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: FGD | Score: 400 | Infantry Kills: 4 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: WVFSD | Score: 800 | Infantry Kills: 7 | Undead Kills: 1 | Vehicle Kills: 0 | Other Kills: 0
Player: DF | Score: 500 | Infantry Kills: 5 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: SV | Score: 1500 | Infantry Kills: 7 | Undead Kills: 8 | Vehicle Kills: 0 | Other Kills: 0
Player: DFB | Score: 3000 | Infantry Kills: 12 | Undead Kills: 18 | Vehicle Kills: 0 | Other Kills: 0
Player: DC | Score: 3700 | Infantry Kills: 18 | Undead Kills: 18 | Vehicle Kills: 0 | Other Kills: 1
Player: D | Score: 7400 | Infantry Kills: 36 | Undead Kills: 36 | Vehicle Kills: 0 | Other Kills: 2
Player: FDV | Score: 6000 | Infantry Kills: 24 | Undead Kills: 36 | Vehicle Kills: 0 | Other Kills: 0
Player: ACSSD | Score: 1000 | Infantry Kills: 10 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: DVS | Score: 6000 | Infantry Kills: 24 | Undead Kills: 36 | Vehicle Kills: 0 | Other Kills: 0
Player: FWEW | Score: 6000 | Infantry Kills: 24 | Undead Kills: 36 | Vehicle Kills: 0 | Other Kills: 0
Player: SDF | Score: 7400 | Infantry Kills: 36 | Undead Kills: 36 | Vehicle Kills: 0 | Other Kills: 2
Player: SDF | Score: 7600 | Infantry Kills: 36 | Undead Kills: 40 | Vehicle Kills: 0 | Other Kills: 0
Player: DC | Score: 7400 | Infantry Kills: 36 | Undead Kills: 36 | Vehicle Kills: 0 | Other Kills: 2
Player: DC | Score: 1600 | Infantry Kills: 4 | Undead Kills: 12 | Vehicle Kills: 0 | Other Kills: 0
Player: SFCS | Score: 3700 | Infantry Kills: 18 | Undead Kills: 18 | Vehicle Kills: 0 | Other Kills: 1
Player: WE | Score: 3600 | Infantry Kills: 17 | Undead Kills: 18 | Vehicle Kills: 0 | Other Kills: 1
Player: DFV | Score: 3400 | Infantry Kills: 16 | Undead Kills: 18 | Vehicle Kills: 0 | Other Kills: 0
Player: VSD | Score: 3700 | Infantry Kills: 18 | Undead Kills: 19 | Vehicle Kills: 0 | Other Kills: 0
Player: FF | Score: 3600 | Infantry Kills: 18 | Undead Kills: 17 | Vehicle Kills: 0 | Other Kills: 1
Player: ZC | Score: 200 | Infantry Kills: 0 | Undead Kills: 2 | Vehicle Kills: 0 | Other Kills: 0
Player: DS | Score: 1800 | Infantry Kills: 9 | Undead Kills: 9 | Vehicle Kills: 0 | Other Kills: 0
Player: FRS | Score: 5500 | Infantry Kills: 36 | Undead Kills: 18 | Vehicle Kills: 0 | Other Kills: 1
Player: DC | Score: 4200 | Infantry Kills: 27 | Undead Kills: 15 | Vehicle Kills: 0 | Other Kills: 0
Player: EFC | Score: 4700 | Infantry Kills: 30 | Undead Kills: 17 | Vehicle Kills: 0 | Other Kills: 0
Player: DS | Score: 5200 | Infantry Kills: 32 | Undead Kills: 19 | Vehicle Kills: 0 | Other Kills: 1
Player: DS | Score: 2800 | Infantry Kills: 18 | Undead Kills: 10 | Vehicle Kills: 0 | Other Kills: 0
Player: DS | Score: 3600 | Infantry Kills: 22 | Undead Kills: 14 | Vehicle Kills: 0 | Other Kills: 0
Player: DS | Score: 0 | Infantry Kills: 0 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: DS | Score: 3600 | Infantry Kills: 22 | Undead Kills: 14 | Vehicle Kills: 0 | Other Kills: 0
Player: DS | Score: 3700 | Infantry Kills: 23 | Undead Kills: 14 | Vehicle Kills: 0 | Other Kills: 0
Player: DS | Score: 0 | Infantry Kills: 0 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: DS | Score: 4400 | Infantry Kills: 26 | Undead Kills: 18 | Vehicle Kills: 0 | Other Kills: 0
Player: DS | Score: 4900 | Infantry Kills: 32 | Undead Kills: 16 | Vehicle Kills: 0 | Other Kills: 1
Player: DS | Score: 4600 | Infantry Kills: 24 | Undead Kills: 22 | Vehicle Kills: 0 | Other Kills: 0
Player: DS | Score: 3400 | Infantry Kills: 21 | Undead Kills: 13 | Vehicle Kills: 0 | Other Kills: 0
Player: DS | Score: 4200 | Infantry Kills: 24 | Undead Kills: 18 | Vehicle Kills: 0 | Other Kills: 0
Player: DS | Score: 5500 | Infantry Kills: 32 | Undead Kills: 22 | Vehicle Kills: 0 | Other Kills: 1
Player: DS | Score: 6200 | Infantry Kills: 32 | Undead Kills: 28 | Vehicle Kills: 0 | Other Kills: 2
Player: DS | Score: 0 | Infantry Kills: 0 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: DS | Score: 0 | Infantry Kills: 0 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: ASD | Score: 3500 | Infantry Kills: 29 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 6
Player: WE | Score: 400 | Infantry Kills: 4 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: WEF | Score: 1000 | Infantry Kills: 10 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: EFW | Score: 600 | Infantry Kills: 5 | Undead Kills: 1 | Vehicle Kills: 0 | Other Kills: 0
Player: FS | Score: 900 | Infantry Kills: 9 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: DSFSDF | Score: 7100 | Infantry Kills: 44 | Undead Kills: 20 | Vehicle Kills: 0 | Other Kills: 7
Player: GDFG | Score: 0 | Infantry Kills: 0 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: MEOW | Score: 100 | Infantry Kills: 1 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: FDC | Score: 1000 | Infantry Kills: 10 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
